,dealer_net_buy,eps_growth,foreign_net_buy,macd_signal,momentum_20d,revenue_yoy,roa,roe,rsi_14,trust_net_buy,volume_ratio
2025-07-31,-0.34642857142857136,0.31176470588235294,-0.35357142857142854,-0.65,-0.4606329429543661,0.06470588235294117,0.46153846153846156,0.45604395604395603,-0.4088235294117647,0.42857142857142855,-0.8294117647058824
2025-08-04,,0.6176470588235293,,-0.2058823529411765,-0.10294117647058824,0.6941176470588235,0.6868131868131868,0.07142857142857142,-0.02058823529411765,,-0.2529411764705882
2025-08-05,-0.55,-0.4852941176470588,-0.3323529411764706,0.4794117647058824,0.24705882352941175,-0.5176470588235293,-0.8186813186813187,0.08241758241758242,0.03529411764705882,-0.07647058823529412,0.55
2025-08-06,-0.1604121111246834,0.7255336769217332,0.2619573924788408,0.10301695209842054,0.24282567280341982,0.26490073396736713,0.44841858102279447,0.07152689022449482,0.048565134560683974,-0.1103753058197363,-0.478292991885524
2025-08-07,-0.17218547707878862,0.2207506116394726,0.030905085629526156,0.3237675637378931,-0.023546731908210407,0.3958794302067875,0.5384615384615384,0.12087912087912088,0.4900663578396291,0.5871966269609971,0.5224431142134185
2025-08-08,-0.044117647058823525,-0.5088235294117647,-0.06470588235294117,0.13529411764705881,0.6387051030102073,-0.4264705882352941,-0.5604395604395606,-0.06043956043956044,0.12352941176470587,-0.03823529411764706,-0.43529411764705883
2025-08-11,-0.0029411764705882353,-0.6911764705882353,-0.08823529411764705,-0.38823529411764707,0.21764705882352942,-0.3941176470588235,-0.5659340659340659,0.021978021978021976,-0.32647058823529407,-0.23823529411764705,-0.3588235294117647
2025-08-12,-0.0411764705882353,0.2058823529411765,0.06470588235294117,0.09117647058823529,0.15294117647058825,0.1647058823529412,0.13186813186813187,0.4945054945054945,0.19411764705882353,0.22352941176470587,0.1764705882352941
2025-08-13,-0.0265487880754859,-0.16224259379463604,0.5073768387759527,-0.22418976597076984,-0.40708141715745044,-0.49557737740907004,-0.17127333223404725,-0.060774408212081285,-0.15044313242775342,-0.2359892273376524,-0.14749326708603278
2025-08-14,-0.30905085629526163,-0.4429728940232083,0.30022083182968273,0.420897832859261,0.7387787136201016,-0.07358353721315752,-0.5274725274725275,0.17032967032967034,0.48712301635110283,0.19188238911333405,0.4429728940232083
2025-08-15,-0.3235294117647059,0.06181017125905232,-0.0029411764705882353,0.2529411764705882,0.2911764705882353,0.011764705882352941,-0.027472527472527472,0.20329670329670327,0.3235294117647059,0.10882352941176471,-0.15
